別々（べつべつ）に　お願（ねが）いします,,,
山（やま）田（だ）,もう　１２時（じ）ですよ。　昼（ひる）ごはんを　食（た）べに　行（い）きませんか。,6.551345,10.941391
ミラー,ええ。,10.941391,11.933457
山（やま）田（だ）,どこへ　行（い）きますか。,11.933457,13.780763
ミラー,そうですね。　きょうは　日本（にほん）料（りょう）理（り）が　食（た）べたいですね。,13.780763,17.918006
山（やま）田（だ）,じゃ、　「つるや」へ　行（い）きましょう。,17.918006,20.49136
,………………………,,
店（みせ）の人（ひと）,ご注（ちゅう）文（もん）は？,27.083237,29.276549
ミラー,わたしは　てんぷら定（てい）食（しょく）。,29.276549,31.119491
山（やま）田（だ）,わたしは　牛（ぎゅう）どん。,31.119491,33.050192
店（みせ）の人（ひと）,てんぷら定（てい）食（しょく）と　牛（ぎゅう）どうですね。　少々（しょうしょう）　お待（ま）ち　ください。,33.050192,37.214479
,………………………,,
店（みせ）の人（ひと）,"１,６８０円（えん）で　ございます。",43.960116,46.7925
ミラー,すみません。　別々（べつべつ）に　お願（ねが）いします。,46.7925,49.587955
店（みせ）の人（ひと）,はい。　てんぷら定（てい）食（しょく）は　９８０円（えん）、　牛（ぎゅう）どうは　７００円（えん）です。,49.587955,56.058376
